model,device,input_w,input_h,output_w,output_h,avg_time_ms,frames
FSRCNN_x4.pb,cpu,640,360,3840,2160,222.38,30
FSRCNN_x4.pb,opencl,640,360,3840,2160,207.55,30
FSRCNN_x2.pb,cpu,1280,720,3840,2160,1087.1,30
FSRCNN_x2.pb,opencl,1280,720,3840,2160,731.62,30
FSRCNN_x3.pb,cpu,1280,720,3840,2160,878.6,30
FSRCNN_x3.pb,opencl,1280,720,3840,2160,753.28,30
FSRCNN_x4.pb,cpu,1280,720,3840,2160,1196.76,30
FSRCNN_x4.pb,opencl,1280,720,3840,2160,867.99,30
FSRCNN_x2.pb,cpu,1920,1080,3840,2160,2157.69,30
FSRCNN_x2.pb,opencl,1920,1080,3840,2160,1897.91,30
FSRCNN_x3.pb,cpu,1920,1080,3840,2160,2589.56,30
FSRCNN_x3.pb,opencl,1920,1080,3840,2160,1999.46,30
FSRCNN_x4.pb,cpu,1920,1080,3840,2160,2732.64,30
FSRCNN_x4.pb,opencl,1920,1080,3840,2160,2186.03,30
FSRCNN_x2.pb,cpu,2560,1440,3840,2160,4454.67,30
FSRCNN_x2.pb,opencl,2560,1440,3840,2160,3805.79,30
FSRCNN_x3.pb,cpu,2560,1440,3840,2160,4653.78,30
FSRCNN_x3.pb,opencl,2560,1440,3840,2160,4109.48,30
FSRCNN_x4.pb,cpu,2560,1440,3840,2160,4945.54,30
FSRCNN_x4.pb,opencl,2560,1440,3840,2160,4433.93,30
FSRCNN_x2.pb,cpu,128,72,3840,2160,27,4.17,1.41,4.09,6.14,7.25,2.92,4.77,0.0,1.25
FSRCNN_x2.pb,opencl,128,72,3840,2160,28,8.56,1.0,8.35,9.75,11.58,7.45,7.96,0.0,1.11
FSRCNN_x3.pb,cpu,128,72,3840,2160,28,4.24,1.32,3.83,5.87,7.11,2.9,4.45,0.0,1.34
FSRCNN_x3.pb,opencl,128,72,3840,2160,30,8.72,1.03,8.36,10.84,11.19,7.45,8.08,0.0,1.26
FSRCNN_x4.pb,cpu,128,72,3840,2160,27,4.76,1.58,4.32,6.79,8.45,3.46,5.42,0.0,1.3
FSRCNN_x4.pb,opencl,128,72,3840,2160,30,9.11,0.94,8.95,10.65,11.21,7.9,8.46,0.0,1.21
FSRCNN_x2.pb,cpu,128,72,3840,2160,26,3.81,1.83,2.81,6.44,8.13,2.54,4.49,0.0,1.27
FSRCNN_x2.pb,opencl,128,72,3840,2160,30,8.61,2.63,7.87,9.32,18.76,7.04,7.59,0.0,1.56
FSRCNN_x3.pb,cpu,128,72,3840,2160,26,4.35,1.84,3.79,6.67,8.32,3.11,5.35,0.0,1.24
FSRCNN_x3.pb,opencl,128,72,3840,2160,30,8.94,1.4,8.58,11.34,12.47,7.49,8.1,0.0,1.45
FSRCNN_x4.pb,cpu,128,72,3840,2160,28,4.28,1.59,3.58,6.59,7.8,3.06,5.44,0.0,1.22
FSRCNN_x4.pb,opencl,128,72,3840,2160,30,8.86,1.36,8.61,9.4,13.4,7.68,8.21,0.0,1.18
FSRCNN_x2.pb,cpu,128,72,3840,2160,19,7.61,3.72,6.28,12.05,15.1,5.72,10.21,0.07,1.82
FSRCNN_x2.pb,opencl,128,72,3840,2160,20,10.01,2.31,9.27,13.27,16.48,8.42,12.13,0.04,1.55
FSRCNN_x2.pb,cpu,128,72,3840,2160,16,5.07,8.04
FSRCNN_x2.pb,cpu,128,72,3840,2160,19,1.62,0.64,1.41,2.45,2.92,5.38,8.75,0.0,1.61
